"","prov","ninos_bajoPesoNacer","ind_VIA","ninos_desnuCroni","ninos_anem","ind_DdE","ind_DDHH","deve_activi","deve_inver"
"56","MARISCAL CÁCERES",8.28025477707006,0.498643338680267,12.2314049586777,17.6470588235294,0.673993024796187,0.446768919911036,1691.4791646038,573.30487888951
"57","MOYOBAMBA",5.89139344262295,0.394927561283112,13.6873715821084,27.6446280991736,0.714844407257999,0.488253337000652,8332.73228383504,883.040212328721
"58","PICOTA",5.76652601969058,0.553148806095124,13.2689987937274,35.5960264900662,0.666073429860073,0.43875531362626,930.220613365695,1503.4360552893
"59","RIOJA",5.77187356848374,0.442440092563629,10.7336287543082,40.0986610288936,0.711262296305389,0.468398046922593,1259.73864250982,759.639218576251
"60","SAN MARTÍN",7.76918117343649,0.294475674629212,10.272780034823,35.5912743972445,0.770445423887427,0.607513016930018,3666.19555884491,1071.701401363
"61","TOCACHE",4.37116564417178,0.473518967628479,11.7046117921775,40.5797101449275,0.674340683901571,0.505567200470222,1977.7896483665,1129.44929335415
"62","CONTRALMIRANTE VILLAR",6.79012345679012,0.251242339611053,10.5448154657293,23.8476953907816,0.706159254973205,0.544228946249763,4336.65330665108,3563.37835454423
"63","TUMBES",7.01692524682651,0.199408292770386,7.905803195963,29.5666131621188,0.760804842904098,0.590134727638241,4771.02514821326,1024.08751312713
"64","ZARUMILLA",5.54393305439331,0.274022400379181,10.7547169811321,40.2766476810415,0.70080843792964,0.509087359993274,1435.02341170314,1241.85727530977
"65","AIJA",7.95454545454545,0.586117923259735,20.3821656050955,26.8817204301075,0.686007284149375,0.369278952096014,3046.34799551234,2818.38468586387
"66","ANTONIO RAYMONDI",6.97674418604651,0.674561738967896,32.088285229202,77.2357723577235,0.748010806900013,0.316336893364822,2664.04565458741,4316.74326701179
"67","ASUNCIÓN",7.62711864406779,0.57966423034668,23.9669421487603,61.9354838709678,0.754790116977737,0.389049863688564,2304.84708674699,1311.14973614458
"68","BOLOGNESI",12.0234604105572,0.458527266979218,19.047619047619,20.5546492659054,0.725946079482943,0.453107932719228,2529.61865415634,2079.70078445258
"69","CARHUAZ",5.72737686139748,0.557434558868408,25.6996689738188,42.6065162907268,0.712622126253204,0.408914652227987,1476.29682352279,767.736544597943
"70","CARLOS F. FITZCARRALD",8.85608856088561,0.672915399074555,24.207492795389,40.9090909090909,0.689181982725371,0.305968553232619,2360.79816780402,944.752006971378
"71","CASMA",5.68445475638051,0.315449178218842,14.4807121661721,44.1631504922644,0.668583909018809,0.557300920754885,1602.21278854207,1259.66151450853
"72","CORONGO",10.5263157894737,0.597393274307251,17.0391061452514,43.7209302325582,0.734964707795205,0.388256123584986,3220.2870519862,1183.98944309618
"73","HUARAZ",5.57125555106984,0.381614208221436,21.0627023844569,48.8070892978868,0.785150049495268,0.562543270468146,11030.4432026645,619.614864200101
"74","HUARI",7.92239288601455,0.553403973579407,22.5297962322184,50.5514705882353,0.727483931032877,0.424135442845821,3101.51896756125,2742.83684466324
"75","HUARMEY",5.19187358916479,0.299821317195892,16.1490683229814,17.5388967468175,0.697011973018572,0.574461230554634,2030.69126066122,829.417485307857
"76","HUAYLAS",7.28205128205128,0.550441026687622,29.8089591567852,23.2032854209446,0.707131291660884,0.405559625805934,2196.8361726143,688.720900532599
"77","MARISCAL LUZURIAGA",8.71080139372822,0.694152295589447,29.2274052478134,26.3345195729537,0.636120512025277,0.276132981732583,2749.69431456703,1062.39418202474
"78","OCROS",3.07692307692308,0.549111843109131,22.6600985221675,42.8571428571428,0.673682073687724,0.465454484624551,4324.5626199422,1532.38491907514
"79","PALLASCA",5.75079872204473,0.633431315422058,26.1508325171401,62.7397260273973,0.722250764232484,0.327174294684724,3000.46199803966,4153.2630928146
"80","POMABAMBA",11.6923076923077,0.605884313583374,26.5901981230448,20.8661417322835,0.695982032658324,0.341970981075689,3529.28382375694,710.62780153316
"81","RECUAY",9.96168582375479,0.507664620876312,20.6222222222222,49.8550724637681,0.694831354650171,0.426784731367209,3075.22041215361,1811.87582454166
"82","SANTA",4.86614406152936,0.221503615379333,8.53471423091676,30.9642857142857,0.75320035478408,0.615220775075721,1729.96718731337,540.841884412073
"83","SIHUAS",10.8108108108108,0.693373203277588,24.9617151607963,23.9208633093525,0.697734999823544,0.314323545628663,2620.62280242935,2068.87494732276
"84","YUNGAY",6.36461704422869,0.645888924598694,32.4018838304553,54.5560747663551,0.695502301742128,0.335807832904921,1761.03534203011,848.79789281542
"85","CALLAO",5.40946656649136,0.124762237071991,7.27692374689718,23.8912489379779,0.808428216023754,0.640163109859599,4249.98778933073,129.499422518905
"86","AMBO",6.18811881188119,0.632877826690674,18.4926029588165,16.0458452722063,0.635862769329207,0.375436336723439,2314.76363440237,940.943585297526
"87","DOS DE MAYO",7.38552437223043,0.681513726711273,23.3976029181866,28.5251215559157,0.651118235293188,0.385045066532898,2987.0111443213,1050.91257800024
"88","HUACAYBAMBA",7.30337078651685,0.669924437999726,24.1130487071557,39.0862944162436,0.668379934981564,0.318457467200167,2116.99434391036,565.060139805215
"89","HUAMALÍES",6.37915543575921,0.690564513206482,27.0352227665034,39.6011396011396,0.642229537596298,0.378053917211422,1985.25891788481,953.997472045228
"90","HUÁNUCO",5.61195173338441,0.393806219100952,14.2168674698795,13.4419551934827,0.715929918080171,0.528693190085859,5346.6345359428,1305.71110105476
"91","LAURICOCHA",5.23012552301255,0.696644425392151,21.7967599410898,30.7317073170732,0.582617277580872,0.422385974109054,2092.71441913078,1614.50507481643
"92","LEONCIO PRADO",4.7008547008547,0.416461825370789,8.48178137651822,30.0702028081123,0.655033815546715,0.499959701878324,2493.65889692222,712.122262493209
"93","MARAÑÓN",6.39097744360902,0.716055274009705,19.7857948139797,42.4836601307189,0.563820331913797,0.329365035168257,1681.79232348884,948.152356094808
"94","PACHITEA",5.56792873051225,0.721998333930969,22.9349538600045,34.2066957787482,0.561574631428522,0.27313445048065,1859.46823792893,800.440966155581
"95","PUERTO INCA",5.06798516687268,0.639185607433319,15.8898305084746,17.8217821782178,0.466009848478183,0.387250062379581,2457.09888329058,622.650335745694
